Match_ID,Round,Match,Team,Player,Calculated_Score,Saves,Claims,Sweeper,Goals_Prevented,Minutes
14566573,Round 7,royale-union-saint-gilloise-fc-bayern-munchen,FC Bayern München,Manuel Neuer,35,1,1,0,0.044,90
14566573,Round 7,royale-union-saint-gilloise-fc-bayern-munchen,Royale Union Saint-Gilloise,Kjell Scherpen,47,2,3,0,0.2802,90
14566765,Round 7,benfica-juventus,Juventus,Michele Di Gregorio,36,3,1,0,0.2647,90
14566765,Round 7,benfica-juventus,Benfica,Anatoliy Trubin,32,3,0,1,0.088,90
14566957,Round 7,psv-eindhoven-newcastle-united,Newcastle United,Nick Pope,31,1,1,0,0.1259,90
14566957,Round 7,psv-eindhoven-newcastle-united,PSV Eindhoven,Matěj Kovář,5,1,0,0,-1.2596,90
14566821,Round 7,olympique-de-marseille-liverpool,Olympique de Marseille,Gerónimo Rulli,17,1,0,1,-1.9043,90
14566821,Round 7,olympique-de-marseille-liverpool,Liverpool,Alisson,48,4,1,2,0.838,90
14566882,Round 7,barcelona-sk-slavia-praha,SK Slavia Praha,Jindřich Staněk,17,8,0,1,-0.2706,90
14566882,Round 7,barcelona-sk-slavia-praha,Barcelona,Joan García,23,1,1,1,-0.933,90
