name,name_lower,excel_pos,sofascore_pos,whoscored_pos,sofascore_correct,whoscored_correct
Dominik Szoboszlai,dominik szoboszlai,MID,MID,MID,True,True
Alexis Mac Allister,alexis mac allister,MID,MID,MID,True,True
Ryan Gravenberch,ryan gravenberch,MID,MID,MID,True,True
Virgil van Dijk,virgil van dijk,DEF,DEF,DEF,True,True
Ibrahima Konaté,ibrahima konaté,DEF,DEF,DEF,True,True
Conor Bradley,conor bradley,DEF,DEF,DEF,True,True
Kylian Mbappé,kylian mbappé,FWD,FWD,FWD,True,True
Jude Bellingham,jude bellingham,MID,MID,MID,True,True
Arda Güler,arda güler,MID,MID,MID,True,True
Eduardo Camavinga,eduardo camavinga,MID,MID,MID,True,True
Aurélien Tchouaméni,aurélien tchouaméni,MID,MID,MID,True,True
Álvaro Carreras,álvaro carreras,DEF,DEF,DEF,True,True
Dean Huijsen,dean huijsen,DEF,DEF,DEF,True,True
Éder Militão,éder militão,DEF,DEF,DEF,True,True
Federico Valverde,federico valverde,DEF,DEF,DEF,True,True
Ousmane Dembélé,ousmane dembélé,FWD,FWD,FWD,True,True
Khvicha Kvaratskhelia,khvicha kvaratskhelia,FWD,FWD,FWD,True,True
Bradley Barcola,bradley barcola,FWD,FWD,FWD,True,True
Vitinha,vitinha,MID,MID,MID,True,True
Warren Zaïre-Emery,warren zaïre-emery,MID,MID,MID,True,True
Nuno Mendes,nuno mendes,DEF,DEF,DEF,True,True
Willian Pacho,willian pacho,DEF,DEF,DEF,True,True
Marquinhos,marquinhos,DEF,DEF,DEF,True,True
Achraf Hakimi,achraf hakimi,DEF,DEF,DEF,True,True
Harry Kane,harry kane,FWD,FWD,FWD,True,True
Luis Díaz,luis díaz,FWD,MID,MID,False,False
Michael Olise,michael olise,FWD,MID,MID,False,False
Serge Gnabry,serge gnabry,MID,MID,MID,True,True
Joshua Kimmich,joshua kimmich,MID,MID,MID,True,True
Dayot Upamecano,dayot upamecano,DEF,DEF,DEF,True,True
Jonathan Tah,jonathan tah,DEF,DEF,DEF,True,True
Konrad Laimer,konrad laimer,DEF,DEF,DEF,True,True
Francisco Conceição,francisco conceição,MID,FWD,MID,False,True
Khéphren Thuram,khéphren thuram,MID,MID,MID,True,True
Manuel Locatelli,manuel locatelli,MID,MID,MID,True,True
Andrea Cambiaso,andrea cambiaso,DEF,MID,DEF,False,True
Weston McKennie,weston mckennie,DEF,MID,DEF,False,True
Teun Koopmeiners,teun koopmeiners,DEF,DEF,DEF,True,True
Federico Gatti,federico gatti,DEF,DEF,DEF,True,True
Pierre Kalulu,pierre kalulu,DEF,DEF,DEF,True,True
Fotis Ioannidis,fotis ioannidis,FWD,FWD,FWD,True,True
Geovany Quenda,geovany quenda,FWD,MID,MID,False,False
João Simões,joão simões,MID,MID,MID,True,True
Morten Hjulmand,morten hjulmand,MID,MID,MID,True,True
Gonçalo Inácio,gonçalo inácio,DEF,DEF,DEF,True,True
Ousmane Diomande,ousmane diomande,DEF,DEF,DEF,True,True
Antoine Griezmann,antoine griezmann,FWD,FWD,FWD,True,True
Koke,koke,MID,MID,MID,True,True
Pablo Barrios,pablo barrios,MID,MID,MID,True,True
Giuliano Simeone,giuliano simeone,MID,MID,MID,True,True
Matteo Ruggeri,matteo ruggeri,DEF,DEF,DEF,True,True
Dávid Hancko,dávid hancko,DEF,DEF,DEF,True,True
Robin Le Normand,robin le normand,DEF,DEF,DEF,True,True
Nahuel Molina,nahuel molina,DEF,DEF,DEF,True,True
Anouar Ait El Hadj,anouar ait el hadj,FWD,FWD,MID,True,False
Rob Schoofs,rob schoofs,MID,MID,MID,True,True
Kamiel Van De Perre,kamiel van de perre,MID,MID,MID,True,True
Adem Zorgane,adem zorgane,MID,MID,MID,True,True
Ousseynou Niang,ousseynou niang,DEF,MID,DEF,False,True
Anan Khalaili,anan khalaili,DEF,MID,DEF,False,True
Ross Sykes,ross sykes,DEF,DEF,DEF,True,True
